,Publisher,count,Source_new
112,ACM Transactions on Intelligent Systems and Technology,22,ACM Transactions on Intelligent Systems and Technology
113,ACM Transactions on Internet Technology,25,ACM Transactions on Internet Technology
114,ACM Transactions on Knowledge Discovery from Data,8,others
115,ACM Transactions on Mathematical Software,17,ACM Transactions on Mathematical Software
116,ACM Transactions on Mathematical Software (TOMS),23,ACM Transactions on Mathematical Software (TOMS)
117,ACM Transactions on Modeling and Computer Simulation,8,others
118,ACM Transactions on Modeling and Computer Simulation (TOMACS),1,others
119,"ACM Transactions on Multimedia Computing, Communications and Applications",4,others
120,ACM Transactions on Programming Languages and Systems,24,ACM Transactions on Programming Languages and Systems
121,ACM Transactions on Programming Languages and Systems (TOPLAS),18,ACM Transactions on Programming Languages and Systems (TOPLAS)
122,ACM Transactions on Reconfigurable Technology and Systems,3,others
123,ACM Transactions on Sensor Networks,7,others
124,ACM Transactions on Software Engineering and Methodology,28,ACM Transactions on Software Engineering and Methodology
125,ACM Transactions on Software Engineering and Methodology (TOSEM),4,others
126,ACM Transactions on Speech and Language Processing,3,others
127,ACM Transactions on the Web,14,ACM Transactions on the Web
128,"ACM, New York",7,others
129,"ACM, New York, NY, United States",4,others
130,ACME,3,others
131,ACQUA ARIA ECOL.,3,others
132,ACRN Oxford Ltd.,1,others
133,ACS,6,others
134,ACS Applied Materials and Interfaces,102,ACS Applied Materials and Interfaces
135,ACS Catalysis,22,ACS Catalysis
136,ACS Chemical Biology,22,ACS Chemical Biology
137,ACS Chemical Neuroscience,10,others
138,ACS Combinatorial Science,5,others
139,"ACS Division of Environmental Chemistry, Preprints",8,others
140,"ACS Division of Fuel Chemistry, Preprints",9,others
141,ACS Macro Letters,5,others
142,ACS Medicinal Chemistry Letters,41,ACS Medicinal Chemistry Letters
143,ACS Nano,172,ACS Nano
144,ACS Omega,6,others
145,ACS Photonics,2,others
146,ACS Sustainable Chemistry and Engineering,16,ACS Sustainable Chemistry and Engineering
147,ACS Symposium Series,17,ACS Symposium Series
148,ACS Synthetic Biology,1,others
149,"ACS, United States",14,"ACS, United States"
150,"ACS, Washington",61,"ACS, Washington"
151,"ACS, Washington, DC, United States",259,"ACS, Washington, DC, United States"
152,ACSM's Health and Fitness Journal,1,others
153,ACT Publishing Group Liminted,2,others
154,ACTA BIOL.IUGOSL.SER.B,1,others
155,ACTA BIOL.IUGOSL.SER.B.,2,others
156,ACTA HISTOCHEMICA ET CYTOCHEMICA,3,others
157,ACTA MED.VET.,3,others
158,ACTA OECOL.,1,others
159,ACTA THER.,4,others
160,ADAPT University Press,5,others
161,ADB Economics Working Paper Series,1,others
162,ADIS International Ltd,1,others
163,ADULT LEARNING AUSTRALIA INC,3,others
164,ADV.BIOSCI.,1,others
165,AEI Automazione Energia Informazione,29,AEI Automazione Energia Informazione
166,"AEI, Italy",1,others
167,"AEI, Milan",5,others
168,"AEI, Milan, Italy",38,"AEI, Milan, Italy"
169,AELFE,10,others
170,AEP - Academic Electronic Press Ltd.,5,others
171,"AEPress, s.r.o.",11,"AEPress, s.r.o."
172,AES: Journal of the Audio Engineering Society,13,AES: Journal of the Audio Engineering Society
173,AEU - International Journal of Electronics and Communications,8,others
174,AEU-Archiv fur Elektronik und Ubertragungstechnik,2,others
175,AEU. Archiv fur Elektronik und Ubertragungstechnik,1,others
176,AFB Press,16,AFB Press
177,AGGIORN.CLIN.-TER.,5,others
178,AGGIORN.CLIN.TER.,3,others
179,AGGIORN.TER.OFTAL.,2,others
180,AGH University of Science and Technology,30,AGH University of Science and Technology
181,AGRIC. ITAL.,5,others
182,AGRIC. MEDITERR.,3,others
183,AGROCHIMICA,2,others
184,"AGU/GSA; Geodynamics Series, 15",1,others
185,"AHS, Alexandria",2,others
186,AI Access Foundation,76,AI Access Foundation
187,AI Communications,49,AI Communications
188,AI Magazine,9,others
189,AI and Society,7,others
190,AIAA,1,others
191,AIAA International,108,AIAA International
192,AIAA Journal,146,AIAA Journal
193,"AIAA, Reston",67,"AIAA, Reston"
194,"AIAA, Washington",2,others
195,AIChE,2,others
196,AIChE Journal,186,AIChE Journal
197,"AIChE, New York",14,"AIChE, New York"
198,"AIChE, New York, NY, United States",6,others
199,AIDEP,1,others
200,AIDS,364,AIDS
201,AIDS Care,4,others
202,AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,25,AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV
203,AIDS Education and Prevention,1,others
204,AIDS Patient Care and STDs,70,AIDS Patient Care and STDs
205,AIDS Reader,2,others
206,AIDS Research,1,others
207,AIDS Research and Human Retroviruses,226,AIDS Research and Human Retroviruses
208,AIDS Research and Therapy,12,AIDS Research and Therapy
209,AIDS Research and Treatment,5,others
210,AIDS and Behavior,2,others
211,AIDS research and human retroviruses,1,others
212,AIEL Series in Labour Economics,42,AIEL Series in Labour Economics
213,AIMS Press,69,AIMS Press
214,AIP Advances,3,others
215,AIP Conference Proceedings,40,AIP Conference Proceedings
216,AIP Publishing,21,AIP Publishing
217,AIPO Ricerche srl,4,others
218,AIQUA - Associazione Italiana per lo Studio del Quaternario,1083,AIQUA - Associazione Italiana per lo Studio del Quaternario
219,AJOB Neuroscience,1,others
220,AJR. American journal of roentgenology,6,others
221,"AKAD.KIADO, BUDAPEST",2,others
222,AKTUEL.GASTROLOGIE,1,others
223,AL ACADEMIEI ROMANE,1,others
224,ALTAGA,1,others
225,ALTEX,1,others
226,ALTEX Edition,11,ALTEX Edition
227,AM.J.PHYSIOL.,1,others
228,AMC,8,others
229,AME Publishing Company,737,AME Publishing Company
230,AMER.J.CHIN.MED.,2,others
231,AMER.REV.RESP.DIS.,1,others
232,"AMER.SOC.MICROBIOL., WASHINGTON",1,others
233,AMG Transcend Association,31,AMG Transcend Association
234,AMHA - Acta Medico-Historica Adriatica,1,others
235,AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium,23,AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium
236,AMIA ... Annual Symposium proceedings. AMIA Symposium,2,others
237,AMSE Press,43,AMSE Press
238,"AMSE Press, Tassin-la-Demi-Lune, France",4,others
239,ANAE - Approche Neuropsychologique des Apprentissages chez l'Enfant,2,others
240,ANN. FAC. AGRAR. UNIV. STUD. PERUGIA,2,others
241,ANN. FRENIATR. SCI. AFFINI,5,others
242,ANN.DERM.VENEREOL.,1,others
243,ANN.FRENIAT.SCI.AFFINI,1,others
244,ANN.GENET.SELECT.ANIM.,1,others
245,ANN.HYG.LANG.FRANC.,1,others
246,ANN.OBSTET.GINEC.MED.PERINATALE,1,others
247,ANN.OSTET.GINEC.MED.PERINATALE,69,ANN.OSTET.GINEC.MED.PERINATALE
248,ANN.OTO-LARYNG.,3,others
249,ANN.RADIOL.,2,others
250,ANPAD - Associacao Nacional de Pos-Graduacao e Pesquisa em Administracao,1,others
251,ANQ - Quarterly Journal of Short Articles Notes and Reviews,2,others
252,ANS,1,others
253,"ANS, La Grange Park",26,"ANS, La Grange Park"
254,ANTIMICROB.AGENTS CHEMOTHER.,4,others
255,ANZ Journal of Surgery,16,ANZ Journal of Surgery
256,ANZIAM Journal,1,others
257,AO Research Institute Davos,45,AO Research Institute Davos
258,AOAC International,66,AOAC International
259,AOFAS - American Orthopaedic Foot and Ankle Society,6,others
260,AOSA Inc.,2,others
261,AOSIS (pty) Ltd,12,AOSIS (pty) Ltd
262,AOSIS OpenJournals Publishing AOSIS (Pty) Ltd,5,others
263,APC,9,others
264,APEQ - Associacao Portuguesa para o Estudo do Quaternario,1,others
265,APLIUT,3,others
266,APMIS,38,APMIS
267,"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica",1,others
268,"APMIS, Supplement",4,others
269,APRH (Associação Portuguesa dos Recursos Hídricos),1,others
270,APS Journal,2,others
271,ARAN Ediciones S.A.,29,ARAN Ediciones S.A.
272,ARCH.ANAT.PATH.,1,others
273,ARCH.ATTI SOC.MED.CHIR.MESSINA,1,others
274,ARCH.ITAL.DERM.,6,others
275,ARCH.ITAL.SCI.MED.TROP.,8,others
276,ARCH.MAL.COEUR,1,others
277,ARCH.MON.TISIOL.,52,ARCH.MON.TISIOL.
278,ARCH.PSICOL.NEUROL.PSICHIAT.,23,ARCH.PSICOL.NEUROL.PSICHIAT.
279,ARCH.UN.MED.BALKAN.,1,others
280,"ARCS Workshops, ARCS 2012",2,others
281,ARPN Journal of Engineering and Applied Sciences,14,ARPN Journal of Engineering and Applied Sciences
282,ARQ,4,others
283,ARRAY Development (Canada) Inc.,4,others
284,ARSMB-KVBMG,54,ARSMB-KVBMG
285,ASA Associazione per la Statistica Applicata,54,ASA Associazione per la Statistica Applicata
286,ASA/CSSA/SSSA,24,ASA/CSSA/SSSA
287,"ASAE, St. Joseph, MI, United States",5,others
288,ASAIO Journal,38,ASAIO Journal
289,ASAIO Transactions,7,others
290,ASCE - American Society of Civil Engineers,142,ASCE - American Society of Civil Engineers
291,"ASCE, Reston",1,others
292,"ASCE, Reston, VA, United States",60,"ASCE, Reston, VA, United States"
293,ASCR Press,16,ASCR Press
294,ASDC journal of dentistry for children,3,others
295,ASEAN Neurological Association,1,others
296,ASERS Publishing House,28,ASERS Publishing House
297,ASHRAE,1,others
298,"ASHRAE, Atlanta, GA, United States",3,others
299,ASICE,3,others
300,ASLE Transactions,3,others
301,ASLERD,2,others
302,ASM International,12,ASM International
303,"ASM International, Materials Park",3,others
304,"ASM International, Materials Park, OH, United States",1,others
305,"ASME, Fairfield",1,others
306,"ASME, Fairfield, NJ, United States",20,"ASME, Fairfield, NJ, United States"
307,"ASME, New York, NY, United States",2,others
308,ASN Neuro,3,others
309,ASOC ESPANOLA LIGUISTICA APLICADA,2,others
310,ASTES Publishers,32,ASTES Publishers
311,ASTIN Bulletin,14,ASTIN Bulletin
312,ASTM International,78,ASTM International
313,"ASTM, Conshohocken",2,others
314,"ASTM, Conshohocken, PA, United States",1,others
315,"ASTM, Philadelphia",2,others
316,AStA Advances in Statistical Analysis,13,AStA Advances in Statistical Analysis
317,"AT Verlag fuer Aufbereitung GmbH, Wiesbaden, Germany",1,others
318,ATENEO PARMENSE,129,ATENEO PARMENSE
319,ATIP. Association Technique de L'Industrie Papetiere,1,others
320,ATLA (ALTERN.LAB.ANIM.),2,others
321,ATOM.ENERGY REV.,1,others
322,ATOMIC ABSORPT.NEWSLTR,1,others
323,ATTI CLIN.OTO-RINO-LARING.,25,ATTI CLIN.OTO-RINO-LARING.
324,"ATTI CONV.INT.FIUGGI, FOND.ERBA",3,others
325,ATTI Della Accademia Nazionale Dei Lincei Rendiconti Lincei Scienze Fisiche E Naturali,21,ATTI Della Accademia Nazionale Dei Lincei Rendiconti Lincei Scienze Fisiche E Naturali
326,ATTI FOND.G.RONCHI FIRENZE,3,others
327,AUCO Czech Economic Review,13,AUCO Czech Economic Review
328,AUFOP,2,others
329,AVERE,16,AVERE
330,AVES,70,AVES
331,AVES Ibrahim KARA,2,others
332,AVES Ibrahim Kara,19,AVES Ibrahim Kara
333,AVES İbrahim KARA,22,AVES İbrahim KARA
334,AVS Science and Technology Society,91,AVS Science and Technology Society
335,AZTI-Tecnalia,38,AZTI-Tecnalia
336,AZimuth,1,others
337,Aalborg University,3,others
338,Aalborg University press,15,Aalborg University press
339,Aarhus Universitet,7,others
340,Aarhus University,1,others
341,Ab Imperio,4,others
342,Abacus,5,others
343,Abbaye de Maredsous,1,others
344,Abdominal Imaging,129,Abdominal Imaging
345,Abdus Salam International Centre for Theoretical Physics,3,others
346,Abel Publications Services Inc.,5,others
347,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,9,others
348,"Ablex Publ Corp, Norwood, NJ, United States",4,others
349,Aboriginal Studies Press,1,others
350,AboutScience Srl,2,others
351,Abstract and Applied Analysis,84,Abstract and Applied Analysis
352,Abstracta Botanica,8,others
353,"Acad Press Inc, Orlando",18,"Acad Press Inc, Orlando"
354,"Acad Press, Orlando",1,others
355,Academia Brasileira de Ciencias,14,Academia Brasileira de Ciencias
356,Academia Brasileira de Neurologia,5,others
357,Academia Scientiarum Fennica,1,others
358,Academia Sinica,6,others
359,Academia Verlag GmbH,15,Academia Verlag GmbH
360,Academic,1,others
361,Academic Association for Manufacturing Engineering,1,others
362,Academic Association of Pharmaceutical Sciences from Antofagasta (ASOCIFA),2,others
363,"Academic Center for Education, Culture and Research",1,others
364,Academic Conferences and Publishing International Limited,9,others
365,Academic Emergency Medicine,2,others
366,"Academic Enhancement Department, King Mongkut's University of Technology North Bangkok",2,others
367,Academic Journals,1,others
368,Academic Journals Inc.,5,others
369,Academic Medicine,2,others
370,Academic Mind,1,others
371,Academic Press,8111,Academic Press
372,Academic Press Fribourg,2,others
373,"Academic Press Inc, Orlando",1,others
374,"Academic Press Inc, San Diego",1,others
375,Academic Press Inc.,13039,Academic Press Inc.
376,"Academic Press Ltd, London",56,"Academic Press Ltd, London"
377,"Academic Press, London",2,others
378,Academic Psychiatry,1,others
379,Academic Publications Ltd.,3,others
380,Academic Publishing House,14,Academic Publishing House
381,Academic Publishing House Researcher,3,others
382,Academic Publishing International,2,others
383,Academic Radiology,23,Academic Radiology
384,Academic Research Publishing Group,1,others
385,Academic radiology,3,others
386,AcademicDirect,3,others
387,"Academie Yougoslave des Sciences et des Arts; Travaux - ICSOBA, vo.19, no.22",1,others
388,"Academie Yougoslave des Sciences et des Arts; Travaux - ICSOBA, vol. 19, no. 22",1,others
389,Academie des sciences,45,Academie des sciences
390,Academy Publisher,43,Academy Publisher
391,Academy of Accounting Historians,6,others
392,Academy of Banking Studies Journal,6,others
393,Academy of Economic Studies,10,others
394,Academy of Economic Studies from Bucharest,4,others
395,Academy of General Dentistry,5,others
396,Academy of Managed Care Pharmacy (AMCP),2,others
397,Academy of Management,19,Academy of Management
398,Academy of Medical Sciences of I.R. Iran,2,others
399,Academy of Natural Sciences of Philadelphia,2,others
400,Academy of Romanian Scientists Publishing House,13,Academy of Romanian Scientists Publishing House
401,Academy of Sciences of the Czech Republic,35,Academy of Sciences of the Czech Republic
402,"Academy of Sciences of the Czech Republic,",3,others
403,"Academy of Sciences of the Czech Republic, Institute of Sociology",4,others
404,"Academy of Sciences of the Czech Republic, Institute of State and Law",5,others
405,Academy of Scientific Research and Technology,2,others
406,Academy of Taiwan Information Systems Research,2,others
407,Acarologia,6,others
408,Acarological Society of Iran,4,others
409,Accademia Nazionale dei Lincei,103,Accademia Nazionale dei Lincei
410,Accademia Peloritana dei Pericolanti,247,Accademia Peloritana dei Pericolanti
411,Access to Justice in Eastern Europe,2,others
412,Accident Analysis and Prevention,45,Accident Analysis and Prevention
413,Accountability in Research,3,others
414,Accounting Education,3,others
415,Accounting Forum,7,others
416,Accounting History,16,Accounting History
417,Accounting History Review,5,others
418,Accounting Horizons,1,others
419,Accounting Research Journal,1,others
420,Accounting and Business Research,4,others
421,Accounting and Finance,3,others
422,Accounting in Europe,1,others
423,"Accounting, Auditing & Accountability Journal",1,others
424,"Accounting, Auditing and Accountability Journal",9,others
425,"Accounting, Business and Financial History",3,others
426,"Accounting, Management and Information Technologies",1,others
427,"Accounting, Organizations and Society",4,others
428,Accounts of Chemical Research,107,Accounts of Chemical Research
429,Accreditation and Quality Assurance,10,others
430,Acoustic Research Letters Online,4,others
431,Acoustical Physics,1,others
432,Acoustical Science and Technology,2,others
433,Acoustical Society of America,115,Acoustical Society of America
434,Acoustical Society of Japan,1,others
435,Acoustics Australia,1,others
436,Acoustics Letters,8,others
437,Across Languages and Cultures,1,others
438,Acta Acustica (Stuttgart),110,Acta Acustica (Stuttgart)
439,Acta Acustica united with Acustica,29,Acta Acustica united with Acustica
440,Acta Adriatica,11,Acta Adriatica
441,Acta Agriculturae Scandinavica A: Animal Sciences,5,others
442,Acta Agriculturae Scandinavica Section B: Soil and Plant Science,16,Acta Agriculturae Scandinavica Section B: Soil and Plant Science
443,Acta Agriculturae Slovenica,10,others
444,Acta Agronomica Hungarica,2,others
445,Acta Alimentaria,22,Acta Alimentaria
446,Acta Anaesthesiologica Belgica,12,Acta Anaesthesiologica Belgica
447,Acta Anaesthesiologica Italica,942,Acta Anaesthesiologica Italica
448,Acta Anaesthesiologica Italica / Anaesthesia and Intensive Care in Italy,44,Acta Anaesthesiologica Italica / Anaesthesia and Intensive Care in Italy
449,Acta Anaesthesiologica Scandinavica,83,Acta Anaesthesiologica Scandinavica
450,"Acta Anaesthesiologica Scandinavica, Supplement",1,others
451,Acta Analytica,1,others
452,Acta Anatomica,39,Acta Anatomica
453,Acta Angiologica,1,others
454,Acta Anthropogenetica,9,others
455,Acta Antiqua Academiae Scientiarum Hungaricae,1,others
456,Acta Applicandae Mathematicae,68,Acta Applicandae Mathematicae
457,Acta Archaeologica Academiae Scientiarum Hungaricae,6,others
458,Acta Arithmetica,32,Acta Arithmetica
459,Acta Astronautica,290,Acta Astronautica
460,Acta Biochimica Polonica,32,Acta Biochimica Polonica
461,Acta Biochimica et Biophysica Sinica,2,others
462,Acta Bioethica,1,others
463,Acta Biologica Academiae Scientiarum Hungaricae,2,others
464,Acta Biologica Cracoviensia Series Botanica,3,others
465,Acta Biologica Hungarica,4,others
466,Acta Biologica et Medica Germanica,12,Acta Biologica et Medica Germanica
467,Acta Biomaterialia,1,others
468,Acta Biomedica,90,Acta Biomedica
469,Acta Biomedica de l'Ateneo Parmense,623,Acta Biomedica de l'Ateneo Parmense
470,Acta Bioquimica Clinica Latinoamericana,3,others
471,Acta Biotechnologica,4,others
472,Acta Biotheoretica,6,others
473,Acta Botanica Croatica,12,Acta Botanica Croatica
474,Acta Botanica Fennica,4,others
475,Acta Botanica Gallica,33,Acta Botanica Gallica
476,Acta Botanica Neerlandica,10,others
477,Acta Cardiologica,97,Acta Cardiologica
478,Acta Cardiomiologica,5,others
479,Acta Chimica Slovenica,17,Acta Chimica Slovenica
480,Acta Chiropterologica,5,others
481,Acta Chirurgiae Plasticae,37,Acta Chirurgiae Plasticae
482,Acta Chirurgica - European Journal of Surgery,2,others
483,Acta Chirurgica Austriaca,5,others
484,Acta Chirurgica Belgica,21,Acta Chirurgica Belgica
485,Acta Chirurgica Italica,894,Acta Chirurgica Italica
486,Acta Chirurgica Scandinavica,20,Acta Chirurgica Scandinavica
487,Acta Chromatographica,3,others
488,Acta Cientifica Venezolana,3,others
489,Acta Classica,1,others
490,Acta Clinica Belgica,8,others
491,Acta Clinica Croatica,3,others
492,"Acta Clinica Croatica, Supplement",3,others
493,Acta Crystallographica,9,others
494,Acta Crystallographica - Section D Biological Crystallography,24,Acta Crystallographica - Section D Biological Crystallography
495,Acta Crystallographica Section A: Foundations of Crystallography,65,Acta Crystallographica Section A: Foundations of Crystallography
496,Acta Crystallographica Section B,2,others
497,Acta Crystallographica Section B: Structural Science,53,Acta Crystallographica Section B: Structural Science
498,"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",1,others
499,Acta Crystallographica Section C: Crystal Structure Communications,93,Acta Crystallographica Section C: Crystal Structure Communications
500,Acta Crystallographica Section D: Biological Crystallography,89,Acta Crystallographica Section D: Biological Crystallography
501,Acta Crystallographica Section E: Structure Reports Online,230,Acta Crystallographica Section E: Structure Reports Online
502,Acta Crystallographica Section F: Structural Biology and Crystallization Communications,39,Acta Crystallographica Section F: Structural Biology and Crystallization Communications
503,"Acta Crystallographica, Section C: Crystal Structure Communications",3,others
504,Acta Cytologica,50,Acta Cytologica
505,Acta Dermato-Venereologica,175,Acta Dermato-Venereologica
506,"Acta Dermato-Venereologica, Supplement",5,others
507,"Acta Dermatovenerologica Alpina, Pannonica et Adriatica",11,"Acta Dermatovenerologica Alpina, Pannonica et Adriatica"
508,"Acta Dermatovenerologica Alpina, Panonica et Adriatica",24,"Acta Dermatovenerologica Alpina, Panonica et Adriatica"
509,Acta Dermatovenerologica Croatica,21,Acta Dermatovenerologica Croatica
510,Acta Diabetologica,202,Acta Diabetologica
511,Acta Diabetologica Latina,9,others
512,Acta Embryologiae Experimentalis,92,Acta Embryologiae Experimentalis
513,Acta Embryologiae et Morphologiae Experimentalis,72,Acta Embryologiae et Morphologiae Experimentalis
514,Acta Endocrinologica,242,Acta Endocrinologica
515,Acta Endocrinologica Foundation,8,others
516,"Acta Endocrinologica, Supplement",67,"Acta Endocrinologica, Supplement"
517,Acta Endoscopica,93,Acta Endoscopica
518,Acta Endoscopica Polona,2,others
519,Acta Entomologica Musei Nationalis Pragae,7,others
520,Acta Ethologica,9,others
521,Acta Europaea Fertilitatis,271,Acta Europaea Fertilitatis
522,Acta Europaea fertilitatis,44,Acta Europaea fertilitatis
523,Acta Facultatis Medicae Naissensis,2,others
524,Acta Farmaceutica Bonaerense,4,others
525,Acta Gastro-Enterologica Belgica,26,Acta Gastro-Enterologica Belgica
526,Acta Gastroenterologica Latinoamericana,1,others
527,Acta Genetica Sinica,1,others
528,Acta Geneticae Medicae et Gemellologiae,47,Acta Geneticae Medicae et Gemellologiae
529,Acta Geodaetica et Geophysica Hungarica,11,Acta Geodaetica et Geophysica Hungarica
530,Acta Geodynamica et Geomaterialia,1,others
531,"Acta Geologica Academiae Scientiarum Hungaricae, Geologica",1,others
532,Acta Geologica Hispanica,3,others
533,Acta Geologica Hungarica,7,others
534,Acta Geologica Polonica,6,others
535,Acta Geologica Sinica (English Edition),1,others
536,Acta Geophysica,26,Acta Geophysica
537,Acta Geophysica Polonica,3,others
538,Acta Geotechnica,2,others
539,Acta Geotechnica Slovenica,2,others
540,Acta Gerontologica,99,Acta Gerontologica
541,Acta Ginecologica,1,others
542,Acta Haematologica,550,Acta Haematologica
543,Acta Haematologica Polonica,1,others
544,Acta Hepato-Gastroenterologica,35,Acta Hepato-Gastroenterologica
545,Acta Hepatologica Japonica,3,others
546,Acta Herpetologica,24,Acta Herpetologica
547,Acta Histochemica,197,Acta Histochemica
548,Acta Histochemica et Cytochemica,9,others
549,Acta Horticulturae,24,Acta Horticulturae
550,Acta Hydrobiologica,2,others
551,Acta Hydrochimica et Hydrobiologica,5,others
552,Acta Informatica,30,Acta Informatica
553,Acta Juridica Hungarica,5,others
554,Acta Leprologica,1,others
555,Acta Linguistica Hafniensia,2,others
556,Acta Linguistica Hungarica,2,others
557,Acta Literaria,1,others
558,Acta Materialia,91,Acta Materialia
